Local_Start_Date,Characters,WPM
2024-07-21,150067,61.85858080269445
2024-07-23,17446,68.71780469587044
2024-07-24,28765,70.14889188718678
2024-07-25,7623,69.06790063140409
2024-07-26,27238,70.44904054172802
2024-07-28,14653,63.91578278797742
2024-07-29,11279,58.17521106321337
2024-07-31,23299,63.83970213846075
2024-08-08,21163,68.68169031965512
2024-08-09,19413,63.767881003666936
2024-08-17,29665,57.984328762182315
2024-08-18,50064,65.64269701964704
2024-08-19,41671,68.15177810081195
2024-08-20,20204,62.55256278085369
2024-08-30,26340,69.6581808002146
2024-09-25,11896,65.84609475122001
