Test_Number,Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session,Test #
4628,1,1724105265.481261,2024-08-19 18:07:45.481264,2024-08-19 22:07:45.481279+00:00,132,16.3767515,8.060206567828791,96.72247881394549,1,0.0,0.0,NUM,29,19,"and one male goat for a sin offering, in addition to the continual burnt offering, with its meal offering and their drink offerings.",4628,1,100.0,0.0,v2,,,,,,,,1,100.0,74.06240210107654,70.17818411898577,64.61833519562639,3.640605996738408,3.7272546957621513,4.123648954501808,8.42536306890578,7.800142750827049,8.56935202636634,2024.0,8.0,2024-08-19,18.0,7.0,1.0,1.0,1.0,1,2024-08-19 18:08:01.858015500,2024.0,8.0,2024-08-19,18.0,8.0,1.0,1.0,1.0,63.479,995,74,4628
2299,2,1720564180.801887,,2024-07-09 22:29:40.801904+00:00,91,11.33060333,8.031346374554087,96.37615649464904,0,1.098901098901099,0.0,EXO,28,5,"They shall use the gold, and the blue, and the purple, and the scarlet, and the fine linen.",2299,1,94.44444444444444,2.197802197802198,v2,,mac,qwerty,,,,,2,99.98129092609915,76.50042955656178,71.16185459409702,66.4252476593539,2.274770378662156,3.823594093214635,3.5374569444951347,4.950484842440168,8.031432338126331,7.412504912271521,,,,,,,,,1,,,,,,,,,,61.029,890,16,2299
4608,3,1724104862.118207,2024-08-19 18:01:02.118213,2024-08-19 22:01:02.118242+00:00,45,5.685187708,7.915305933817726,94.98367120581273,1,0.0,0.0,NUM,28,30,"and one male goat, to make atonement for you.",4608,1,100.0,0.0,v2,,,,,,,,3,99.96258185219831,77.43775592942677,66.55698393287508,64.26824428088598,1.8521123375228286,4.382766661014496,4.116098147081485,3.704224675045654,8.999328840885534,8.543842123159965,2024.0,8.0,2024-08-19,18.0,1.0,1.0,1.0,1.0,1,2024-08-19 18:01:07.803400708,2024.0,8.0,2024-08-19,18.0,1.0,1.0,1.0,1.0,63.434,995,54,4608
4637,4,1724105430.770996,2024-08-19 18:10:30.771001,2024-08-19 22:10:30.771022+00:00,129,16.513113541,7.81197317390867,93.74367808690404,0,2.3255813953488373,2.3255813953488373,NUM,29,28,"and one male goat for a sin offering, in addition to the continual burnt offering, and its meal offering, and its drink offering.",4637,1,95.65217391304348,4.651162790697675,v2,,,,,,,,4,99.94387277829748,80.39383427450734,71.57515915885206,64.72484626114073,3.222210943918533,3.4950471982443982,4.124356936450963,6.599460647526986,7.320685754873195,8.570418193682947,2024.0,8.0,2024-08-19,18.0,10.0,2.0,1.0,1.0,1,2024-08-19 18:10:47.284114540,2024.0,8.0,2024-08-19,18.0,10.0,1.0,2.0,1.0,63.508,995,83,4637
4601,5,1724104724.1137862,2024-08-19 17:58:44.113789,2024-08-19 21:58:44.113802+00:00,112,14.370500333,7.793743947996469,93.52492737595765,1,0.0,0.0,NUM,28,23,"You shall offer these in addition to the burnt offering of the morning, which is for a continual burnt offering.",4601,1,100.0,0.0,v2,,,,,,,,5,99.92516370439664,72.94270862189143,64.7178864722024,64.18350433518805,4.302197557616074,5.21266145431677,4.137801205777269,8.604395115232144,10.699132467504121,8.591499688028787,2024.0,8.0,2024-08-19,17.0,58.0,6.0,4.0,2.0,1,2024-08-19 17:58:58.484289333,2024.0,8.0,2024-08-19,17.0,58.0,4.0,6.0,2.0,63.415,995,47,4601
4238,6,1724013802.160691,2024-08-18 16:43:22.160695,2024-08-18 20:43:22.160713+00:00,57,7.335705125,7.770214182375549,93.2425701885066,1,0.0,0.0,NUM,16,43,Moses and Aaron came to the front of the Tent of Meeting.,4238,1,100.0,0.0,v2,,,,,,,,6,99.90645463049579,73.22730189047601,65.66262220259927,63.021730956180996,1.092736556455868,3.059789464096781,4.404614128271269,2.1854731129117333,6.183016969396208,9.207072427406793,2024.0,8.0,2024-08-18,16.0,43.0,5.0,3.0,2.0,1,2024-08-18 16:43:29.496400125,2024.0,8.0,2024-08-18,16.0,43.0,3.0,5.0,2.0,63.221,992,60,4238
2932,7,1721855679.666257,2024-07-24 17:14:39.666262,2024-07-24 21:14:39.666285+00:00,125,16.115767708,7.756378862295773,93.07654634754928,1,0.0,0.0,LEV,8,14,"He brought the bull of the sin offering, and Aaron and his sons laid their hands on the head of the bull of the sin offering.",2932,1,100.0,0.0,v2,,,,,,,,7,99.88774555659495,73.51639759220447,67.40841439360022,68.03772557523781,4.10554696026651,5.744759913875903,3.6182416510941935,8.427310136749236,11.945273270140149,7.569248152897696,2024.0,7.0,2024-07-24,17.0,14.0,2.0,1.0,1.0,1,2024-07-24 17:14:55.782029708,2024.0,7.0,2024-07-24,17.0,14.0,1.0,2.0,1.0,62.499,982,47,2932
3184,8,1722046442.1076338,2024-07-26 22:14:02.107638,2024-07-27 02:14:02.107657+00:00,167,21.581679916,7.738044519703552,92.85653423644264,1,0.0,0.0,LEV,15,15,"The priest shall offer them, the one for a sin offering, and the other for a burnt offering. The priest shall make atonement for him before the LORD for his discharge.",3184,1,100.0,0.0,v2,,,,,,,,8,99.86903648269411,73.40078328027192,70.371108342313,68.83675151237381,2.5532542510217504,4.545045109704143,4.166917277893396,5.3632986255002875,9.600687650837802,8.747513072638958,2024.0,7.0,2024-07-26,22.0,14.0,2.0,1.0,1.0,1,2024-07-26 22:14:23.689317916,2024.0,7.0,2024-07-26,22.0,14.0,1.0,2.0,1.0,63.133,984,61,3184
3199,9,1722046782.977265,2024-07-26 22:19:42.977268,2024-07-27 02:19:42.977281+00:00,184,23.861150917,7.711279336023488,92.53535203228186,1,0.0,0.0,LEV,15,30,"The priest shall offer the one for a sin offering, and the other for a burnt offering; and the priest shall make atonement for her before the LORD for the uncleanness of her discharge.",3199,1,100.0,0.0,v2,,,,,,,,9,99.85032740879326,73.37732304277124,71.48631068593912,68.94634656173737,4.55159020774506,4.513618345229439,4.1610244195010315,9.43608170480044,9.561487062610807,8.73697111529076,2024.0,7.0,2024-07-26,22.0,19.0,2.0,2.0,1.0,1,2024-07-26 22:20:06.838418917,2024.0,7.0,2024-07-26,22.0,20.0,2.0,3.0,1.0,63.187,984,76,3199
3132,10,1722045240.724394,2024-07-26 21:54:00.724399,2024-07-27 01:54:00.724417+00:00,146,18.949531292,7.704676055055642,92.4561126606677,0,1.36986301369863,1.36986301369863,LEV,14,20,"then the priest shall offer the burnt offering and the meal offering on the altar. The priest shall make atonement for him, and he shall be clean.",3132,1,96.29629629629628,2.73972602739726,v2,,,,,,,,10,99.83161833489243,72.24429385361728,69.13097248339815,68.76652963191223,5.534503750634823,4.61878293901933,4.068711428552555,11.15789639015853,9.780996456113591,8.524073712914618,2024.0,7.0,2024-07-26,21.0,54.0,6.0,4.0,2.0,1,2024-07-26 21:54:19.673930292,2024.0,7.0,2024-07-26,21.0,54.0,4.0,6.0,2.0,62.987,984,9,3132
