Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Local_Start_30_Minute_Block,Local_End_30_Minute_Block,Characters,30-Minute Block
2024-07-21,2024-07-21,22.0,22.0,1.0,1.0,12224,2024-07-21 22.0_1.0
2024-08-19,2024-08-19,18.0,18.0,1.0,1.0,10677,2024-08-19 18.0_1.0
2024-07-24,2024-07-24,17.0,17.0,1.0,1.0,10556,2024-07-24 17.0_1.0
2024-07-26,2024-07-26,22.0,22.0,1.0,1.0,10489,2024-07-26 22.0_1.0
2024-08-30,2024-08-30,13.0,13.0,1.0,1.0,10326,2024-08-30 13.0_1.0
2024-08-18,2024-08-18,16.0,16.0,2.0,2.0,10133,2024-08-18 16.0_2.0
2024-07-23,2024-07-23,19.0,19.0,1.0,1.0,10115,2024-07-23 19.0_1.0
2024-08-18,2024-08-18,17.0,17.0,1.0,1.0,10002,2024-08-18 17.0_1.0
2024-07-21,2024-07-21,22.0,22.0,2.0,2.0,9895,2024-07-21 22.0_2.0
2024-08-19,2024-08-19,19.0,19.0,2.0,2.0,9775,2024-08-19 19.0_2.0
2024-08-18,2024-08-18,17.0,17.0,2.0,2.0,9745,2024-08-18 17.0_2.0
2024-08-08,2024-08-08,19.0,19.0,2.0,2.0,9685,2024-08-08 19.0_2.0
2024-08-08,2024-08-08,19.0,19.0,1.0,1.0,9679,2024-08-08 19.0_1.0
2024-08-30,2024-08-30,18.0,18.0,1.0,1.0,9669,2024-08-30 18.0_1.0
2024-07-26,2024-07-26,0.0,0.0,1.0,1.0,9400,2024-07-26 0.0_1.0
2024-07-31,2024-07-31,20.0,20.0,1.0,1.0,9378,2024-07-31 20.0_1.0
2024-07-24,2024-07-24,15.0,15.0,1.0,1.0,9360,2024-07-24 15.0_1.0
2024-08-18,2024-08-18,18.0,18.0,1.0,1.0,9290,2024-08-18 18.0_1.0
2024-07-31,2024-07-31,20.0,20.0,2.0,2.0,8826,2024-07-31 20.0_2.0
2024-08-09,2024-08-09,21.0,21.0,2.0,2.0,8802,2024-08-09 21.0_2.0
2024-07-28,2024-07-28,21.0,21.0,2.0,2.0,8608,2024-07-28 21.0_2.0
2024-08-20,2024-08-20,20.0,20.0,2.0,2.0,8397,2024-08-20 20.0_2.0
2024-08-17,2024-08-17,12.0,12.0,1.0,1.0,7592,2024-08-17 12.0_1.0
2024-07-29,2024-07-29,20.0,20.0,1.0,1.0,7496,2024-07-29 20.0_1.0
2024-07-25,2024-07-25,23.0,23.0,2.0,2.0,7397,2024-07-25 23.0_2.0
2024-08-20,2024-08-20,20.0,20.0,1.0,1.0,7152,2024-08-20 20.0_1.0
2024-08-17,2024-08-17,11.0,11.0,1.0,1.0,7073,2024-08-17 11.0_1.0
2024-08-19,2024-08-19,19.0,19.0,1.0,1.0,6814,2024-08-19 19.0_1.0
2024-08-17,2024-08-17,12.0,12.0,2.0,2.0,6603,2024-08-17 12.0_2.0
2024-08-19,2024-08-19,17.0,17.0,2.0,2.0,6476,2024-08-19 17.0_2.0
2024-08-19,2024-08-19,18.0,18.0,2.0,2.0,6423,2024-08-19 18.0_2.0
2024-09-25,2024-09-25,17.0,17.0,1.0,1.0,6010,2024-09-25 17.0_1.0
2024-08-09,2024-08-09,22.0,22.0,1.0,1.0,5909,2024-08-09 22.0_1.0
2024-08-17,2024-08-17,11.0,11.0,2.0,2.0,5851,2024-08-17 11.0_2.0
2024-09-25,2024-09-25,17.0,17.0,2.0,2.0,5804,2024-09-25 17.0_2.0
2024-07-23,2024-07-23,19.0,19.0,2.0,2.0,5071,2024-07-23 19.0_2.0
2024-07-21,2024-07-21,21.0,21.0,2.0,2.0,4763,2024-07-21 21.0_2.0
2024-07-28,2024-07-28,21.0,21.0,1.0,1.0,4615,2024-07-28 21.0_1.0
2024-08-30,2024-08-30,13.0,13.0,2.0,2.0,4326,2024-08-30 13.0_2.0
2024-08-09,2024-08-09,21.0,21.0,1.0,1.0,4307,2024-08-09 21.0_1.0
2024-07-24,2024-07-24,17.0,17.0,2.0,2.0,4086,2024-07-24 17.0_2.0
2024-07-21,2024-07-21,1.0,1.0,2.0,2.0,4053,2024-07-21 1.0_2.0
2024-08-20,2024-08-20,19.0,19.0,2.0,2.0,3905,2024-08-20 19.0_2.0
2024-07-29,2024-07-29,20.0,20.0,2.0,2.0,3641,2024-07-29 20.0_2.0
2024-07-21,2024-07-21,0.0,0.0,2.0,2.0,3607,2024-07-21 0.0_2.0
