Local_Start_Date,Local_End_Date,Local_Start_Hour,Local_End_Hour,Characters,Hour
2024-07-21,2024-07-21,22.0,22.0,22253,2024-07-21 22.0
2024-08-18,2024-08-18,17.0,17.0,19912,2024-08-18 17.0
2024-08-08,2024-08-08,19.0,19.0,19508,2024-08-08 19.0
2024-07-31,2024-07-31,20.0,20.0,18437,2024-07-31 20.0
2024-08-19,2024-08-19,18.0,18.0,17340,2024-08-19 18.0
2024-08-19,2024-08-19,19.0,19.0,16808,2024-08-19 19.0
2024-08-20,2024-08-20,20.0,20.0,15747,2024-08-20 20.0
2024-07-23,2024-07-23,19.0,19.0,15433,2024-07-23 19.0
2024-08-30,2024-08-30,13.0,13.0,14821,2024-08-30 13.0
2024-07-24,2024-07-24,17.0,17.0,14775,2024-07-24 17.0
2024-08-17,2024-08-17,12.0,12.0,14310,2024-08-17 12.0
2024-07-26,2024-07-26,22.0,22.0,14188,2024-07-26 22.0
2024-08-18,2024-08-18,16.0,16.0,13597,2024-08-18 16.0
2024-07-28,2024-07-28,21.0,21.0,13331,2024-07-28 21.0
2024-08-09,2024-08-09,21.0,21.0,13329,2024-08-09 21.0
2024-08-17,2024-08-17,11.0,11.0,13068,2024-08-17 11.0
2024-07-24,2024-07-24,15.0,15.0,12173,2024-07-24 15.0
2024-09-25,2024-09-25,17.0,17.0,11896,2024-09-25 17.0
2024-08-30,2024-08-30,18.0,18.0,11519,2024-08-30 18.0
2024-07-29,2024-07-29,20.0,20.0,11279,2024-07-29 20.0
2024-08-18,2024-08-18,18.0,18.0,11155,2024-08-18 18.0
2024-07-26,2024-07-26,0.0,0.0,9400,2024-07-26 0.0
2024-07-21,2024-07-21,21.0,21.0,7504,2024-07-21 21.0
2024-07-25,2024-07-25,23.0,23.0,7397,2024-07-25 23.0
2024-07-21,2024-07-21,0.0,0.0,6930,2024-07-21 0.0
2024-07-21,2024-07-21,1.0,1.0,6739,2024-07-21 1.0
2024-08-19,2024-08-19,17.0,17.0,6476,2024-08-19 17.0
2024-07-21,2024-07-21,19.0,19.0,6215,2024-07-21 19.0
2024-07-21,2024-07-21,3.0,3.0,6202,2024-07-21 3.0
2024-07-21,2024-07-21,4.0,4.0,6191,2024-07-21 4.0
2024-07-21,2024-07-21,2.0,2.0,6128,2024-07-21 2.0
2024-08-09,2024-08-09,22.0,22.0,5909,2024-08-09 22.0
2024-07-21,2024-07-21,18.0,18.0,5667,2024-07-21 18.0
2024-07-21,2024-07-21,10.0,10.0,5545,2024-07-21 10.0
2024-07-21,2024-07-21,6.0,6.0,5534,2024-07-21 6.0
2024-07-21,2024-07-21,7.0,7.0,5519,2024-07-21 7.0
2024-07-21,2024-07-21,8.0,8.0,5244,2024-07-21 8.0
2024-07-21,2024-07-21,13.0,13.0,5225,2024-07-21 13.0
2024-07-21,2024-07-21,15.0,15.0,5195,2024-07-21 15.0
2024-07-21,2024-07-21,5.0,5.0,5060,2024-07-21 5.0
2024-07-21,2024-07-21,11.0,11.0,4960,2024-07-21 11.0
2024-07-21,2024-07-21,12.0,12.0,4853,2024-07-21 12.0
2024-07-21,2024-07-21,9.0,9.0,4845,2024-07-21 9.0
2024-07-21,2024-07-21,17.0,17.0,4844,2024-07-21 17.0
2024-07-21,2024-07-21,14.0,14.0,4829,2024-07-21 14.0
2024-07-21,2024-07-21,16.0,16.0,4816,2024-07-21 16.0
2024-08-18,2024-08-18,20.0,20.0,4772,2024-08-18 20.0
2024-07-21,2024-07-21,20.0,20.0,4651,2024-07-21 20.0
2024-07-21,2024-07-21,23.0,23.0,4307,2024-07-21 23.0
2024-08-20,2024-08-20,19.0,19.0,3905,2024-08-20 19.0
2024-07-26,2024-07-26,21.0,21.0,3496,2024-07-26 21.0
2024-08-07,2024-08-07,19.0,19.0,3229,2024-08-07 19.0
2024-08-29,2024-08-29,21.0,21.0,3074,2024-08-29 21.0
2024-07-31,2024-07-31,21.0,21.0,3066,2024-07-31 21.0
2024-08-22,2024-08-22,7.0,7.0,2600,2024-08-22 7.0
2024-07-23,2024-07-23,18.0,18.0,1920,2024-07-23 18.0
2024-08-17,2024-08-17,13.0,13.0,1750,2024-08-17 13.0
2024-07-31,2024-07-31,19.0,19.0,1424,2024-07-31 19.0
2024-08-08,2024-08-08,18.0,18.0,1367,2024-08-08 18.0
2024-07-28,2024-07-28,22.0,22.0,1126,2024-07-28 22.0
2024-07-24,2024-07-24,16.0,16.0,989,2024-07-24 16.0
2024-08-19,2024-08-19,20.0,20.0,732,2024-08-19 20.0
2024-07-24,2024-07-24,14.0,14.0,550,2024-07-24 14.0
2024-08-29,2024-08-29,20.0,20.0,539,2024-08-29 20.0
2024-08-18,2024-08-18,19.0,19.0,424,2024-08-18 19.0
2024-08-20,2024-08-20,21.0,21.0,242,2024-08-20 21.0
2024-08-17,2024-08-17,10.0,10.0,101,2024-08-17 10.0
