Rank,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session,Test #
1,1721856617.5696378,2024-07-24 17:30:17.569640,2024-07-24 21:30:17.569651+00:00,100,13.372054958,7.478282157386269,89.73938588863524,0,3.0,3.0,LEV,9,21,"Aaron waved the breasts and the right thigh for a wave offering before the LORD, as Moses commanded.",2975,1,94.44444444444444,6.0,v2,,,,,,,,22,99.60710944808233,82.935661700533,72.1517387924646,68.42242451219917,2.6390319377597815,4.390786259092661,3.624927430601487,5.417924015379703,9.192200346097247,7.582743036899775,2024.0,7.0,2024-07-24,17.0,30.0,4.0,3.0,2.0,1,2024-07-24 17:30:30.941694958,2024.0,7.0,2024-07-24,17.0,30.0,3.0,4.0,2.0,62.709,982,90,2975
2,1721855779.794006,2024-07-24 17:16:19.794009,2024-07-24 21:16:19.794025+00:00,64,8.815159292,7.260220477023229,87.12264572427875,0,1.5625,1.5625,LEV,8,19,He killed it; and Moses sprinkled the blood around on the altar.,2937,1,91.66666666666666,3.125,v2,,,,,,,,46,99.15809167446211,81.69165982198753,68.40630449421064,68.16151280540689,1.4664021896994899,5.561579532681488,3.5816195036545464,2.9328043793989798,11.578912507751319,7.494511320705364,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,1,2024-07-24 17:16:28.609168292,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,62.537,982,52,2937
3,1721855838.0702422,2024-07-24 17:17:18.070246,2024-07-24 21:17:18.070260+00:00,112,17.453368666,6.4170993086384165,77.005191703661,0,5.357142857142857,4.464285714285714,LEV,8,22,"He presented the other ram, the ram of consecration. Aaron and his sons laid their hands on the head of the ram.",2940,1,95.45454545454544,10.714285714285714,v2,,,,,,,,549,89.74742750233864,81.68612177349169,68.43460028944483,68.1759851612611,1.7841440856255133,5.589908859654463,3.5873746370599195,4.0715313871515395,11.685895483287322,7.51012809374919,2024.0,7.0,2024-07-24,17.0,17.0,2.0,2.0,1.0,1,2024-07-24 17:17:35.523614666,2024.0,7.0,2024-07-24,17.0,17.0,2.0,2.0,1.0,62.547,982,55,2940
4,1721856604.825423,2024-07-24 17:30:04.825426,2024-07-24 21:30:04.825446+00:00,74,12.732130208,5.812067485258945,69.74480982310735,0,1.351351351351351,1.351351351351351,LEV,9,20,"and they put the fat upon the breasts, and he burned the fat on the altar.",2974,1,93.75,2.702702702702702,v2,,,,,,,,1715,67.93264733395696,81.37732902537375,71.96907144100781,68.40720600662067,2.847506514030968,4.386559454968951,3.629522367310347,5.834873167922076,9.183746737849823,7.591932910317497,2024.0,7.0,2024-07-24,17.0,30.0,4.0,3.0,2.0,1,2024-07-24 17:30:17.557556208,2024.0,7.0,2024-07-24,17.0,30.0,3.0,4.0,2.0,62.7,982,89,2974
5,1721856659.169002,2024-07-24 17:30:59.169005,2024-07-24 21:30:59.169026+00:00,133,18.384786416,7.234242323547045,86.81090788256455,0,2.255639097744361,2.255639097744361,LEV,9,23,"Moses and Aaron went into the Tent of Meeting, and came out, and blessed the people; and the LORD's glory appeared to all the people.",2977,1,92.0,4.511278195488721,v2,,,,,,,,52,99.04583723105706,81.36953227393568,72.26966068635194,68.4422441894239,3.916226282316827,4.464526101250308,3.635865261648176,7.972312704493793,9.339680030412536,7.603587771158102,2024.0,7.0,2024-07-24,17.0,30.0,4.0,3.0,2.0,1,2024-07-24 17:31:17.553791416,2024.0,7.0,2024-07-24,17.0,31.0,3.0,4.0,2.0,62.719,982,92,2977
6,1721856630.969119,2024-07-24 17:30:30.969123,2024-07-24 21:30:30.969141+00:00,160,28.170702333,5.679659601974894,68.15591522369873,0,13.125,13.125,LEV,9,22,"Aaron lifted up his hands toward the people, and blessed them; and he came down from offering the sin offering, and the burnt offering, and the peace offerings.",2976,1,92.85714285714286,26.25,v2,,,,,,,,2051,61.64639850327409,81.28680441936352,72.12447615443851,68.42416146570542,3.6906623725423904,4.454239648923171,3.6356714782205346,7.521184884944921,9.319107125758263,7.60423113213787,2024.0,7.0,2024-07-24,17.0,30.0,4.0,3.0,2.0,1,2024-07-24 17:30:59.139825333,2024.0,7.0,2024-07-24,17.0,30.0,3.0,4.0,2.0,62.711,982,91,2976
7,1721856532.1008,2024-07-24 17:28:52.100804,2024-07-24 21:28:52.100818+00:00,143,20.629764458,6.931732075328962,83.18078490394754,0,3.4965034965034967,2.797202797202797,LEV,9,17,"He presented the meal offering, and filled his hand from there, and burned it upon the altar, in addition to the burnt offering of the morning.",2971,1,92.3076923076923,6.993006993006993,v2,,,,,,,,157,97.08138447146865,80.59392145843574,72.07609962430182,68.37986447519805,3.2661282649658245,4.245896246536487,3.63425179307003,6.787723606207974,8.902420320984895,7.603475095170195,2024.0,7.0,2024-07-24,17.0,28.0,3.0,2.0,1.0,1,2024-07-24 17:29:12.730568458,2024.0,7.0,2024-07-24,17.0,29.0,2.0,3.0,1.0,62.69,982,86,2971
8,1721855765.782379,2024-07-24 17:16:05.782383,2024-07-24 21:16:05.782405+00:00,103,13.961281791,7.377546097980625,88.5305531757675,1,0.0,0.0,LEV,8,18,He presented the ram of the burnt offering. Aaron and his sons laid their hands on the head of the ram.,2936,1,100.0,0.0,v2,,,,,,,,30,99.45743685687557,80.53236945512744,68.186836624053,68.14192970940306,1.3101521896994899,5.60727528739847,3.584708166445244,2.6203043793989798,11.670304017185282,7.500688646286364,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,1,2024-07-24 17:16:19.743664791,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,62.529,982,51,2936
9,1724105430.770996,2024-08-19 18:10:30.771001,2024-08-19 22:10:30.771022+00:00,129,16.513113541,7.81197317390867,93.74367808690404,0,2.3255813953488373,2.3255813953488373,NUM,29,28,"and one male goat for a sin offering, in addition to the continual burnt offering, and its meal offering, and its drink offering.",4637,1,95.65217391304348,4.651162790697675,v2,,,,,,,,4,99.94387277829748,80.39383427450734,71.57515915885206,64.72484626114073,3.222210943918533,3.4950471982443982,4.124356936450963,6.599460647526986,7.320685754873195,8.570418193682947,2024.0,8.0,2024-08-19,18.0,10.0,2.0,1.0,1.0,1,2024-08-19 18:10:47.284114540,2024.0,8.0,2024-08-19,18.0,10.0,1.0,2.0,1.0,63.508,995,83,4637
10,1721855855.883035,2024-07-24 17:17:35.883038,2024-07-24 21:17:35.883052+00:00,167,30.037702333,5.559679570315556,66.71615484378667,0,4.790419161676646,4.790419161676646,LEV,8,23,"He killed it; and Moses took some of its blood, and put it on the tip of Aaron's right ear, and on the thumb of his right hand, and on the great toe of his right foot.",2941,1,94.5945945945946,9.580838323353294,v2,,,,,,,,2326,56.50140318054257,80.27716117867018,68.34360183456054,68.17950536769717,2.2631860017931777,5.621596835055015,3.588716780359527,5.029615219486869,11.74927143408842,7.512812380348405,2024.0,7.0,2024-07-24,17.0,17.0,2.0,2.0,1.0,1,2024-07-24 17:18:05.920740333,2024.0,7.0,2024-07-24,17.0,18.0,2.0,2.0,1.0,62.549,982,56,2941
11,1721855805.238174,2024-07-24 17:16:45.238178,2024-07-24 21:16:45.238196+00:00,211,32.805911417,6.431767656687019,77.18121188024423,0,2.843601895734597,2.3696682464454977,LEV,8,21,"He washed the innards and the legs with water; and Moses burned the whole ram on the altar. It was a burnt offering for a pleasant aroma. It was an offering made by fire to the LORD, as the LORD commanded Moses.",2939,1,92.85714285714286,5.687203791469194,v2,,,,,,,,527,90.15902712815715,80.22794607214027,68.3570831873048,68.16681820491823,2.142313215346367,5.602084184329788,3.589854795790078,4.609298218021819,11.692388989780827,7.514228622849719,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,1,2024-07-24 17:17:18.044089417,2024.0,7.0,2024-07-24,17.0,17.0,2.0,2.0,1.0,62.542,982,54,2939
12,1721855788.6245089,2024-07-24 17:16:28.624515,2024-07-24 21:16:28.624541+00:00,87,16.585375584,5.245585157801874,62.94702189362249,0,8.045977011494253,6.896551724137931,LEV,8,20,"He cut the ram into its pieces; and Moses burned the head, and the pieces, and the fat.",2938,1,94.44444444444444,16.091954022988507,v2,,,,,,,,3100,42.02057998129093,80.08862340201088,68.36935459466453,68.14824303578045,2.0580181464270084,5.60728923596938,3.5874851275436326,4.345921350325281,11.693320420074228,7.508541419058249,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,1,2024-07-24 17:16:45.209890584,2024.0,7.0,2024-07-24,17.0,16.0,2.0,2.0,1.0,62.537,982,53,2938
