Word,Count,Median WPM,Mistake-Free Entry Proportion
rid,1,120.49916780262238,1.0
ending,1,117.70098106628507,1.0
mentioned,1,114.64227809585627,1.0
thighs,1,111.09151734473943,1.0
looking,2,110.05717688878464,1.0
ride,1,108.17689618835934,1.0
mothers,1,107.90016532578937,1.0
Meeting,133,107.4236738619717,0.9323308270676691
visions,1,107.27542343151714,1.0
complain,3,107.11626242242636,1.0
another,58,106.99542564839632,0.9655172413793104
division,12,106.94455831933594,1.0
touch,10,106.51460515335594,1.0
night,57,106.51294094154063,0.9122807017543859
permission,1,106.18678104176996,1.0
the,11058,106.12130143848047,0.9777536625067824
lightning,2,106.05609064289075,1.0
sitting,1,105.86023015463311,1.0
mention,1,105.83358833663459,1.0
offering,584,105.3128969513352,0.9383561643835616
and,5662,105.1381464941187,0.9728011303426352
might,35,104.92054023872952,0.9714285714285714
tight,1,104.87321041229404,1.0
rights,1,104.45828951701014,1.0
tin,1,104.22167767875325,1.0
composition,2,104.07465472614075,1.0
rim,3,104.06753481172501,1.0
something,2,103.27542412907755,1.0
approach,5,102.95455441188416,1.0
girl,1,102.77374937391784,1.0
other,89,102.5227503194532,0.9550561797752809
tomorrow,9,102.50860444946073,1.0
plate,3,102.25988674277826,1.0
length,28,102.25779218486635,0.8928571428571429
purification,3,102.00618662846618,1.0
resin,1,101.75284107711319,1.0
completely,3,101.70665177089123,1.0
them,1023,101.38157915969168,0.9628543499511242
right,61,101.23930270093905,0.9508196721311475
sing,2,100.92557855506183,1.0
field,100,100.78878580698887,0.93
people,367,100.29930175331623,0.888283378746594
some,61,100.20574368550687,0.9508196721311475
person,27,99.97654480830641,0.9629629629629629
figure,1,99.83585446390043,1.0
share,1,99.74716172568407,1.0
emission,4,99.66281537070138,1.0
brink,2,99.63434300278662,1.0
time,76,99.59368248732656,0.9342105263157895
either,12,99.54594860993726,0.8333333333333334
more,78,99.44673538857438,0.9871794871794872
talk,4,99.34072636501209,1.0
moment,4,99.14958815903448,1.0
oversight,2,98.97249520528581,1.0
friend,5,98.9248449404579,1.0
their,773,98.75164198058309,0.9560155239327296
coffin,1,98.6940797990242,1.0
offer,134,98.63932204799963,0.9701492537313433
condition,2,98.55590141447401,1.0
middle,49,98.43446477712368,0.8979591836734694
mist,1,98.43445636623565,1.0
position,1,98.39829863191771,1.0
coals,1,98.3606692824528,1.0
name,140,98.32577963636123,0.9785714285714285
another's,2,98.28090724630644,1.0
flight,1,98.26661780632057,1.0
nation,23,98.2527387950939,1.0
dances,1,98.14557681228962,1.0
socket,1,98.07549533975623,1.0
sunset,1,97.90878063282727,1.0
wolf,1,97.88941249527761,1.0
there,284,97.83782996301808,0.9471830985915493
fields,5,97.82974227977269,1.0
remember,16,97.73129329135045,0.9375
torn,12,97.72020127351618,1.0
office,18,97.59419366366635,1.0
material,1,97.35514299337311,1.0
former,2,97.00502107551782,1.0
complaining,2,96.97197878954515,1.0
melons,1,96.8591460495719,1.0
valued,1,96.85599716023597,1.0
thunder,1,96.7788485218039,1.0
nations,45,96.76706333198551,0.9111111111111111
pace,2,96.65378339688684,1.0
wring,2,96.63577103122167,1.0
thin,11,96.62653437224546,0.9090909090909091
learn,3,96.54709376150898,1.0
morning,74,96.52574879657502,0.918918918918919
generation,13,96.51215790274372,0.8461538461538461
handsome,1,96.49029934222756,1.0
leather,5,96.47837196441054,1.0
make,293,96.38065539849637,0.9453924914675768
companion,1,96.36805813897797,1.0
net,2,96.2453827146653,1.0
overlaying,1,96.12318185755045,1.0
making,1,96.12048164099,1.0
shouldn't,1,96.08164804936462,1.0
month,81,96.03953617328251,0.9382716049382716
thing,98,96.01537238382778,0.9693877551020408
hearing,4,95.9637151461839,1.0
mirth,1,95.95437039604634,1.0
cancel,1,95.90142931423651,1.0
path,4,95.81711687055093,1.0
content,1,95.58978327292591,1.0
taller,1,95.57604594180174,1.0
double,12,95.3799767449762,0.9166666666666666
mating,1,95.3348172021085,1.0
liver,11,95.3055149644955,0.9090909090909091
work,122,95.25222931974238,0.9672131147540983
land,605,94.95659321460957,0.9504132231404959
profit,3,94.91385857457789,1.0
thus,3,94.83911386030735,1.0
form,7,94.8254056653573,1.0
provision,2,94.80398086898367,1.0
sin,152,94.70956223200926,0.9671052631578947
number,48,94.62120079229382,0.9583333333333334
within,28,94.33472048906896,1.0
