Test_Number,Unix_Start_Time,Local_Start_Time,UTC_Start_Time,Characters,Seconds,CPS,WPM,Mistake_Free_Test,Backspaces as % of Verse Length,Incorrect Characters as % of Verse Length,Book,Chapter,Verse #,Verse,Verse_Order,Autostart,% of Words Typed Correctly,Extra Keystrokes %,Test Version,Location,Keyboard,Layout,Caffeine,Custom_1,Custom_2,Custom_3,WPM_Rank,WPM_Percentile,Last 10 Avg,Last 100 Avg,Last 1000 Avg,Incorrect Character % Last 10 Avg,Incorrect Character % Last 100 Avg,Incorrect Character % Last 1000 Avg,Extra Keystrokes % Last 10 Avg,Extra Keystrokes % Last 100 Avg,Extra Keystrokes % Last 1000 Avg,Local_Start_Year,Local_Start_Month,Local_Start_Date,Local_Start_Hour,Local_Start_Minute,Local_Start_10_Minute_Block,Local_Start_15_Minute_Block,Local_Start_30_Minute_Block,Count,Local_End_Time,Local_End_Year,Local_End_Month,Local_End_Date,Local_End_Hour,Local_End_Minute,Local_End_15_Minute_Block,Local_End_10_Minute_Block,Local_End_30_Minute_Block,cumulative_avg,Session,Test_#_Within_Session
1,1718251735.0,2024-07-21 08:54:00,2024-06-13 04:08:54.629079+00:00,56,18.33449675,3.054351628,36.65221954,0,7.142857143,7.142857143,GEN,1,1,"In the beginning, God created the heavens and the earth.",1,1,90.0,14.28571429,v2,home,mac,qwerty,yes,,,,2442,2.203525641025641,,,,,,,,,,2024.0,7.0,2024-07-21,8.0,54.0,6.0,4.0,2.0,1,2024-07-21 08:54:18.334496750,2024.0,7.0,2024-07-21,8.0,54.0,4.0,6.0,2.0,36.652,1,1
2,1718251753.0,2024-07-21 09:13:00,2024-06-13 04:09:12.984307+00:00,135,38.44427692,3.511575996,42.13891195,0,8.148148148,8.148148148,GEN,1,2,The earth was formless and empty. Darkness was on the surface of the deep and God's Spirit was hovering over the surface of the waters.,2,1,92.0,16.2962963,v2,home,mac,qwerty,yes,,,,2373,4.967948717948718,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,13.0,2.0,1.0,1.0,1,2024-07-21 09:13:38.444276920,2024.0,7.0,2024-07-21,9.0,13.0,1.0,2.0,1.0,39.396,2,1
3,1718251791.0,2024-07-21 09:51:00,2024-06-13 04:09:51.440488+00:00,52,17.20255054,3.02280757,36.27369084,0,5.769230769,5.769230769,GEN,1,3,"God said, ""Let there be light,"" and there was light.",3,1,80.0,11.53846154,v2,home,mac,qwerty,yes,,,,2445,2.083333333333333,,,,,,,,,,2024.0,7.0,2024-07-21,9.0,51.0,6.0,4.0,2.0,1,2024-07-21 09:51:17.202550540,2024.0,7.0,2024-07-21,9.0,51.0,4.0,6.0,2.0,38.355,3,1
4,1718251809.0,2024-07-21 10:08:00,2024-06-13 04:10:08.658460+00:00,85,21.86266238,3.887907088,46.65488505,0,4.705882353,4.705882353,GEN,1,4,"God saw the light, and saw that it was good. God divided the light from the darkness.",4,1,82.35294118,9.411764706,v2,home,mac,qwerty,yes,,,,2256,9.655448717948719,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,8.0,1.0,1.0,1.0,1,2024-07-21 10:08:21.862662380,2024.0,7.0,2024-07-21,10.0,8.0,1.0,1.0,1.0,40.43,4,1
5,1718251831.0,2024-07-21 10:30:00,2024-06-13 04:10:30.537727+00:00,119,46.28391683,2.5710875,30.85304999,0,35.29411765,31.09243697,GEN,1,5,"God called the light ""day"", and the darkness he called ""night"". There was evening and there was morning, the first day.",5,1,80.95238095,70.58823529,v2,home,mac,qwerty,yes,,,,2469,1.1217948717948718,,,,,,,,,,2024.0,7.0,2024-07-21,10.0,30.0,4.0,3.0,2.0,1,2024-07-21 10:30:46.283916830,2024.0,7.0,2024-07-21,10.0,30.0,3.0,4.0,2.0,38.515,5,1
6,1718251877.0,2024-07-21 11:16:00,2024-06-13 04:11:16.850163+00:00,110,27.146175,4.052136259,48.6256351,0,3.636363636,3.636363636,GEN,1,6,"God said, ""Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.""",6,1,90.90909091,7.272727273,v2,home,mac,qwerty,yes,,,,2192,12.219551282051281,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,16.0,2.0,2.0,1.0,1,2024-07-21 11:16:27.146175000,2024.0,7.0,2024-07-21,11.0,16.0,2.0,2.0,1.0,40.2,6,1
7,1718251904.0,2024-07-21 11:44:00,2024-06-13 04:11:44.002037+00:00,134,34.02749183,3.937992276,47.25590731,0,4.47761194,4.47761194,GEN,1,7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.",7,1,88.0,8.955223881,v2,home,mac,qwerty,yes,,,,2235,10.496794871794872,,,,,,,,,,2024.0,7.0,2024-07-21,11.0,44.0,5.0,3.0,2.0,1,2024-07-21 11:44:34.027491830,2024.0,7.0,2024-07-21,11.0,44.0,3.0,5.0,2.0,41.208,7,1
8,1718253757.0,,2024-06-13 04:42:36.553218+00:00,84,23.37744967,3.593206325,43.1184759,0,8.333333333,5.952380952,GEN,1,8,"God called the expanse ""sky"". There was evening and there was morning, a second day.",8,0,86.66666667,14.28571429,v2,,mac,qwerty,yes,,,,2352,5.809294871794872,,,,,,,,,,,,,,,,,,1,,,,,,,,,,41.447,7,2
9,1718254691.0,,2024-06-13 04:58:11.091695+00:00,119,30.70455313,3.8756467,46.5077604,0,2.521008403,2.521008403,GEN,1,9,"God said, ""Let the waters under the sky be gathered together to one place, and let the dry land appear;"" and it was so.",9,1,95.83333333,5.042016807,v2,,mac,qwerty,yes,,,,2265,9.294871794871796,,,,,,,,,,,,,,,,,,1,,,,,,,,,,42.009,7,3
10,1718328611.0,,2024-06-14 01:30:10.990194+00:00,117,28.72093271,4.073683859,48.88420631,0,8.547008547,8.547008547,GEN,1,10,"God called the dry land ""earth"", and the gathering together of the waters he called ""seas"". God saw that it was good.",10,1,90.90909091,17.09401709,v2,,mac,qwerty,yes,,,,2178,12.780448717948717,42.696474239,,,8.1992928861,,,17.4770171467,,,,,,,,,,,1,,,,,,,,,,42.696,7,4
11,1718328640.0,,2024-06-14 01:30:39.859760+00:00,161,34.19665583,4.708062706,56.49675247,0,1.863354037,1.863354037,GEN,1,11,"God said, ""Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth;"" and it was so.",11,1,93.33333333,3.726708075,v2,,mac,qwerty,yes,,,,1766,29.286858974358974,44.680927532,,,7.671342575500001,,,16.421116525200002,,,,,,,,,,,1,,,,,,,,,,43.951,7,5
